Project Name,Package Name,Type Name,Method Name,Code Smell
bulletJournal,com.bulletjournal.controller,TaskControllerTest,createTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,deleteTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItemsOtherUser,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItemsOtherUser,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecurringTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecurringTasks,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTransaction,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItems,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItems,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Long Identifier
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getRecentProjectItems,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getRecentProjectItems,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentProject,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTasks,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTaskContents,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Magic Number
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTransaction,Long Statement
bulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTransaction,Magic Number
