Project Name,Package Name,Type Name,Method Name,Code Smell
BulletJournal,com.bulletjournal.controller,TaskControllerTest,createTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,deleteTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItemsOtherUser,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItemsOtherUser,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecurringTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecurringTasks,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTransaction,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTransaction,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItems,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItems,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Long Identifier
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getRecentProjectItems,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getRecentProjectItems,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentProject,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTasks,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTasks,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecentTaskContents,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTask,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTaskLabels,Magic Number
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTransaction,Long Statement
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createRecentTransaction,Magic Number
