Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,equals,6,3,1
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,hashCode,3,1,0
BulletJournal,com.bulletjournal.redis.models,ShareItemIds,toString,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,LockedUser,2,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,LockedUser,4,1,2
BulletJournal,com.bulletjournal.redis.models,LockedUser,getReason,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,setReason,3,1,1
BulletJournal,com.bulletjournal.redis.models,LockedUser,getName,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,setName,3,1,1
BulletJournal,com.bulletjournal.redis.models,LockedUser,getExpiration,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,getExpirationInHour,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,equals,6,3,1
BulletJournal,com.bulletjournal.redis.models,LockedUser,hashCode,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedUser,toString,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,LockedIP,2,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,LockedIP,4,1,2
BulletJournal,com.bulletjournal.redis.models,LockedIP,getReason,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,setReason,3,1,1
BulletJournal,com.bulletjournal.redis.models,LockedIP,getIP,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,setIP,3,1,1
BulletJournal,com.bulletjournal.redis.models,LockedIP,getExpiration,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,getExpirationInHour,3,1,0
BulletJournal,com.bulletjournal.redis.models,LockedIP,equals,6,3,1
BulletJournal,com.bulletjournal.redis.models,LockedIP,hashCode,3,1,0
BulletJournal,com.bulletjournal.redis.models,FirstTimeUser,FirstTimeUser,2,1,0
BulletJournal,com.bulletjournal.redis.models,FirstTimeUser,FirstTimeUser,3,1,1
BulletJournal,com.bulletjournal.redis.models,FirstTimeUser,getUsername,3,1,0
BulletJournal,com.bulletjournal.redis.models,FirstTimeUser,setUsername,3,1,1
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,JoinGroupNotification,2,1,0
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,getUid,3,1,0
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,setUid,3,1,1
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,getNotificationId,3,1,0
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,setNotificationId,3,1,1
BulletJournal,com.bulletjournal.redis.models,JoinGroupNotification,JoinGroupNotification,4,1,2
BulletJournal,com.bulletjournal.controller,TaskControllerTest,setup,4,1,0
BulletJournal,com.bulletjournal.controller,TaskControllerTest,generateUpdateContent,4,1,1
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testGetContentRevision,77,3,0
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testCreateTaskFromSampleTask,15,1,0
BulletJournal,com.bulletjournal.controller,TaskControllerTest,getTaskStatistics,7,1,4
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testUpdateAssignees,19,1,3
BulletJournal,com.bulletjournal.controller,TaskControllerTest,testOtherAssignees,7,2,3
BulletJournal,com.bulletjournal.controller,TaskControllerTest,completeTask,6,1,1
BulletJournal,com.bulletjournal.controller,TaskControllerTest,getContentRevision,6,1,3
BulletJournal,com.bulletjournal.controller,TaskControllerTest,updateContent,8,1,4
BulletJournal,com.bulletjournal.controller,TaskControllerTest,addContent,7,1,2
BulletJournal,com.bulletjournal.controller,TaskControllerTest,createTask,9,1,2
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,setup,4,1,0
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,teardown,2,1,0
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,deleteTask,4,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItemsOtherUser,8,1,4
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTransactions,32,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addTasks,38,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,addRecurringTasks,14,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTransaction,10,1,3
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,createTask,10,1,4
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getProjectItems,8,1,4
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,testGetProjectItems,55,5,0
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getTypes,3,1,1
BulletJournal,com.bulletjournal.controller,ProjectItemControllerTest,getRecentProjectItems,8,1,4
